map,RightTile,RightIpix,RightRA,RightDec
adapt_p23-556464309101234_a112-5_191_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_195_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_205_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_20_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_211_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_243_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_251_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_261_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_262_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_284_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_287_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_292_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_293_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_301_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_308_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_312_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_314_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_330_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_351_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_355_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_360_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_368_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_387_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_400_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_405_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_40_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_412_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_414_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_415_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_420_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_438_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_44_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_450_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_452_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_461_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_467_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_474_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_509_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_523_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_527_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_535_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_537_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_545_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_548_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_551_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_577_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_57_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a112-5_593_map.h5,1697,7743,112.5,66.44353485107422
adapt_p23-556464309101234_a157-5_101_map.h5,1701,7487,157.5,66.44353485107422
adapt_p23-556464309101234_a157-5_109_map.h5,1701,7487,157.5,66.44353485107422
adapt_p23-556464309101234_a157-5_12_map.h5,1701,7487,157.5,66.44353485107422
adapt_p23-556464309101234_a157-5_138_map.h5,1701,7487,157.5,66.44353485107422
adapt_p23-556464309101234_a157-5_141_map.h5,1701,7487,157.5,66.44353485107422
adapt_p23-556464309101234_a157-5_142_map.h5,1701,7487,157.5,66.44353485107422
adapt_p23-556464309101234_a157-5_157_map.h5,1701,7487,157.5,66.44353485107422
