fluence,length,alt,az,transient_id,est_length,n_src,n_bkg,alt_ml,az_ml,err,exp_angdist,conf,wait_time,mapping_time
1.310,1.416,78.284,135.000,265,1.4,201,487,73.865,177.955,10.918,11.143,0.9948,1.416,0.194
0.639,2.937,78.284,135.000,266,2.9,107,1045,67.935,124.500,10.749,12.225,0.9888,2.937,0.885
4.440,1.847,78.284,135.000,267,1.8,711,675,76.814,137.500,1.566,1.917,0.5338,1.847,0.096
3.532,2.680,78.284,135.000,268,2.7,586,998,75.341,119.250,4.620,5.030,0.9994,2.680,0.099
2.350,1.953,78.284,135.000,269,2.0,353,756,76.077,130.263,2.442,2.850,0.3783,1.953,0.237
4.754,3.254,78.284,135.000,26,3.3,826,1223,76.077,144.474,3.041,3.232,0.9554,3.254,0.098
4.638,1.196,78.284,135.000,270,1.2,750,491,75.341,150.750,4.620,4.463,0.9993,1.196,0.082
1.008,3.242,78.284,135.000,271,3.2,172,1211,75.341,231.750,19.737,17.098,0.9078,3.242,0.986
2.915,2.204,78.284,135.000,272,2.2,551,834,74.603,143.571,4.184,4.064,0.9782,2.204,0.112
2.453,2.614,78.284,135.000,273,2.6,420,962,77.549,135.000,0.735,1.660,0.0000,2.614,0.136
4.665,0.347,78.284,135.000,274,0.3,835,121,76.077,130.263,2.442,2.397,0.8997,0.347,0.081
0.847,3.661,78.284,135.000,275,3.7,167,1428,64.199,338.143,36.843,37.268,0.9912,3.661,0.562
2.107,1.952,78.284,135.000,276,2.0,387,753,76.077,139.737,2.442,2.462,0.5176,1.952,0.126
2.726,2.839,78.284,135.000,277,2.8,482,1043,75.341,119.250,4.620,5.039,0.9705,2.839,0.129
1.939,0.766,78.284,135.000,278,0.8,323,276,75.341,132.750,2.987,3.144,0.7278,0.766,0.138
3.394,2.104,78.284,135.000,279,2.1,598,803,75.341,137.250,2.987,3.071,0.8783,2.104,0.097
2.431,0.685,78.284,135.000,27,0.7,391,237,71.648,145.800,7.176,6.876,0.9999,0.685,0.122
2.844,0.469,78.284,135.000,280,0.5,512,184,76.077,130.263,2.442,2.301,0.6814,0.469,0.092
3.506,1.424,78.284,135.000,281,1.4,595,554,75.341,137.250,2.987,3.090,0.9194,1.424,0.101
2.614,3.728,78.284,135.000,282,3.7,398,1431,75.341,123.750,3.892,4.434,0.9189,3.728,0.139
0.940,3.816,78.284,135.000,283,3.8,179,1368,75.341,173.250,9.015,7.540,0.9044,3.816,0.341
4.997,1.527,78.284,135.000,284,1.5,942,573,76.814,137.500,1.566,1.437,0.3225,1.527,0.097
1.940,1.311,78.284,135.000,285,1.3,320,510,79.753,131.786,1.591,1.970,0.3814,1.311,0.134
3.002,4.484,78.284,135.000,286,4.5,531,1642,76.814,142.500,2.183,2.857,0.6660,4.484,0.140
4.313,4.283,78.284,135.000,287,4.3,746,1606,75.341,132.750,2.987,3.153,0.9644,4.283,0.095
3.413,1.756,78.284,135.000,288,1.8,554,665,76.077,139.737,2.442,2.798,0.8304,1.756,0.098
4.863,4.158,78.284,135.000,289,4.2,826,1517,75.341,137.250,2.987,3.028,0.9431,4.158,0.096
3.234,2.912,78.284,135.000,28,2.9,614,1057,77.549,129.706,1.329,1.987,0.6223,2.912,0.098
2.414,1.368,78.284,135.000,290,1.4,474,545,75.341,141.750,3.317,3.440,0.9189,1.368,0.116
1.245,1.775,78.284,135.000,291,1.8,219,694,73.865,124.773,5.042,4.828,0.7391,1.775,0.189
3.720,0.626,78.284,135.000,292,0.6,619,230,76.814,127.500,2.183,2.117,0.6868,0.626,0.093
4.475,2.557,78.284,135.000,293,2.6,844,1028,76.077,139.737,2.442,2.647,0.8902,2.557,0.094
4.355,0.912,78.284,135.000,294,0.9,709,340,76.077,139.737,2.442,2.236,0.7253,0.912,0.091
4.524,0.491,78.284,135.000,295,0.5,777,179,76.077,144.474,3.041,3.192,0.9552,0.491,0.083
2.585,2.333,78.284,135.000,296,2.3,429,831,75.341,146.250,3.892,4.076,0.8557,2.333,0.169
4.880,3.464,78.284,135.000,297,3.5,891,1339,76.077,139.737,2.442,2.501,0.8864,3.464,0.098
2.948,1.801,78.284,135.000,298,1.8,480,701,76.077,125.526,3.041,3.171,0.8365,1.801,0.119
2.218,3.183,78.284,135.000,299,3.2,337,1205,79.753,151.071,3.381,3.381,0.7878,3.183,0.138
3.382,0.551,78.284,135.000,29,0.6,599,196,76.077,130.263,2.442,2.261,0.7881,0.551,0.086
4.927,1.228,78.284,135.000,2,1.2,834,445,76.814,137.500,1.566,1.898,0.5429,1.228,0.090
3.611,1.405,78.284,135.000,300,1.4,621,519,76.814,132.500,1.566,1.909,0.4210,1.405,0.106
4.880,1.713,78.284,135.000,301,1.7,788,655,75.341,132.750,2.987,3.348,0.9930,1.713,0.085
3.245,4.639,78.284,135.000,302,4.6,629,1704,75.341,128.250,3.317,3.036,0.7782,4.639,0.219
2.687,3.468,78.284,135.000,303,3.5,468,1263,74.603,147.857,4.736,4.975,0.9930,3.468,0.119
4.057,4.368,78.284,135.000,304,4.4,688,1593,75.341,168.750,8.101,7.288,1.0000,4.368,0.148
3.490,4.453,78.284,135.000,305,4.5,531,1671,79.753,125.357,2.347,2.402,0.6035,4.453,0.116
3.072,3.421,78.284,135.000,306,3.4,556,1274,76.814,137.500,1.566,1.981,0.3216,3.421,0.136
1.749,4.327,78.284,135.000,307,4.3,302,1605,73.127,119.348,6.401,6.488,0.9827,4.327,0.189
3.490,4.140,78.284,135.000,308,4.1,621,1478,74.603,117.857,5.412,5.091,0.9855,4.140,0.126
0.737,1.634,78.284,135.000,309,1.6,127,596,78.284,109.688,5.100,5.581,0.9467,1.634,0.226
0.658,1.686,78.284,135.000,30,1.7,93,618,67.935,178.500,15.681,15.742,0.9691,1.686,1.123
3.274,1.315,78.284,135.000,310,1.3,511,517,76.814,137.500,1.566,1.681,0.2880,1.315,0.215
4.458,3.918,78.284,135.000,311,3.9,691,1446,76.814,137.500,1.566,1.911,0.3967,3.918,0.111
2.514,2.318,78.284,135.000,312,2.3,422,858,74.603,135.000,3.681,4.091,0.9662,2.318,0.112
2.679,1.300,78.284,135.000,313,1.3,434,487,80.487,141.923,2.541,2.829,0.8410,1.300,0.111
1.660,2.544,78.284,135.000,314,2.5,273,931,77.549,135.000,0.735,1.772,0.0000,2.544,0.176
1.308,4.806,78.284,135.000,315,4.8,239,1765,76.814,132.500,1.566,2.821,0.1004,4.806,0.236
3.622,2.654,78.284,135.000,316,2.7,584,1002,75.341,128.250,3.317,3.313,0.8573,2.654,0.129
0.832,1.790,78.284,135.000,317,1.8,141,722,67.935,178.500,15.681,15.837,0.9963,1.790,0.348
2.791,4.689,78.284,135.000,318,4.7,474,1793,75.341,141.750,3.317,3.232,0.7798,4.689,0.189
3.323,1.722,78.284,135.000,319,1.7,534,652,74.603,143.571,4.184,3.706,0.9503,1.722,0.109
1.633,2.525,78.284,135.000,31,2.5,270,1010,74.603,139.286,3.813,4.852,0.7794,2.525,0.248
4.274,1.936,78.284,135.000,320,1.9,738,731,76.814,137.500,1.566,1.463,0.2221,1.936,0.095
