ID,RA,DEC,HEALPixels
556,239.11204716,-76.05010000,41080
557,244.48518149,-76.05010000,41075
558,249.85831581,-76.05010000,41076
559,255.23145014,-76.05010000,41055
560,260.60458447,-76.05010000,41219 41224
561,265.97771880,-76.05010000,41220
562,271.35085313,-76.05010000,45576
563,276.72398746,-76.05010000,45571
564,282.09712178,-76.05010000,45572
565,287.47025611,-76.05010000,45231
566,292.84339044,-76.05010000,45240
567,298.21652477,-76.05010000,45235 45236
568,303.58965910,-76.05010000,45215
569,308.96279343,-76.05010000,45256
570,314.33592775,-76.05010000,45251
571,319.70906208,-76.05010000,45252
572,325.08219641,-76.05010000,45167
573,330.45533074,-76.05010000,45176
574,335.82846507,-76.05010000,45171
575,341.20159940,-76.05010000,45151 45172
576,346.57473372,-76.05010000,45320
577,351.94786805,-76.05010000,45315
578,357.32100238,-76.05010000,45316
579,0.00000000,-75.15010000,33290 45317
580,5.07042254,-75.15010000,33289
581,10.14084507,-75.15010000,33286
582,15.21126761,-75.15010000,33285
583,20.28169014,-75.15010000,32954
584,25.35211268,-75.15010000,32953
585,30.42253521,-75.15010000,32950
586,35.49295775,-75.15010000,32949
587,40.56338028,-75.15010000,32969 32970
588,45.63380282,-75.15010000,32966
589,50.70422535,-75.15010000,32965
590,55.77464789,-75.15010000,32890
591,60.84507042,-75.15010000,32889
592,65.91549296,-75.15010000,32886
593,70.98591549,-75.15010000,32885
594,76.05633803,-75.15010000,33034
595,81.12676056,-75.15010000,33030 33033
596,86.19718310,-75.15010000,33029
597,91.26760563,-75.15010000,37386
598,96.33802817,-75.15010000,37385
599,101.40845070,-75.15010000,37382
600,106.47887324,-75.15010000,37381
601,111.54929577,-75.15010000,37050
602,116.61971831,-75.15010000,37049
603,121.69014085,-75.15010000,37045 37046
604,126.76056338,-75.15010000,37066
605,131.83098592,-75.15010000,37065
606,136.90140845,-75.15010000,37062
607,141.97183099,-75.15010000,37061
608,147.04225352,-75.15010000,36986
609,152.11267606,-75.15010000,36985
610,157.18309859,-75.15010000,36982
611,162.25352113,-75.15010000,36981 37130
612,167.32394366,-75.15010000,37129
613,172.39436620,-75.15010000,37126
614,177.46478873,-75.15010000,37125
615,182.53521127,-75.15010000,41482
616,187.60563380,-75.15010000,41481
617,192.67605634,-75.15010000,41478
618,197.74647887,-75.15010000,41146 41477
619,202.81690141,-75.15010000,41145
