dataset,budget,num_tiles,label,elapsed_ms,cumulative_ms
sim_250_5-0_99_map.h5,20,23,total,9.63837,71.7688
sim_250_5-0_99_map.h5,30,23,init,0.213446,0.213446
sim_250_5-0_99_map.h5,30,23,mapping,60.7589,60.9723
sim_250_5-0_99_map.h5,30,23,gcp,1.3129,62.2852
sim_250_5-0_99_map.h5,30,23,total,9.32114,71.6063
sim_250_5-0_99_map.h5,40,23,init,0.213222,0.213222
sim_250_5-0_99_map.h5,40,23,mapping,61.1397,61.353
sim_250_5-0_99_map.h5,40,23,gcp,1.59755,62.9505
sim_250_5-0_99_map.h5,40,23,total,9.05867,72.0092
sim_250_5-0_99_map.h5,50,23,init,0.216646,0.216646
sim_250_5-0_99_map.h5,50,23,mapping,61.4374,61.6541
sim_250_5-0_99_map.h5,50,23,gcp,1.60338,63.2574
sim_250_5-0_99_map.h5,50,23,total,9.01112,72.2685
sim_250_5-0_99_map.h5,60,23,init,0.209126,0.209126
sim_250_5-0_99_map.h5,60,23,mapping,60.6588,60.868
sim_250_5-0_99_map.h5,60,23,gcp,1.60085,62.4688
sim_250_5-0_99_map.h5,60,23,total,9.00123,71.47
sim_250_5-0_99_map.h5,70,23,init,0.219879,0.219879
sim_250_5-0_99_map.h5,70,23,mapping,61.0354,61.2553
sim_250_5-0_99_map.h5,70,23,gcp,1.64526,62.9005
sim_250_5-0_99_map.h5,70,23,total,8.98574,71.8863
sim_250_5-0_99_map.h5,80,23,init,0.209382,0.209382
sim_250_5-0_99_map.h5,80,23,mapping,60.4325,60.6419
sim_250_5-0_99_map.h5,80,23,gcp,1.57077,62.2127
sim_250_5-0_99_map.h5,80,23,total,9.09041,71.3031
sim_250_5-0_99_map.h5,90,23,init,0.204262,0.204262
sim_250_5-0_99_map.h5,90,23,mapping,59.8756,60.0798
sim_250_5-0_99_map.h5,90,23,gcp,1.59349,61.6733
sim_250_5-0_99_map.h5,90,23,total,9.05307,70.7264
sim_250_5-0_99_map.h5,100,23,init,0.216678,0.216678
sim_250_5-0_99_map.h5,100,23,mapping,60.4801,60.6968
sim_250_5-0_99_map.h5,100,23,gcp,1.6107,62.3075
sim_250_5-0_99_map.h5,100,23,total,9.00721,71.3147
